EDGEID,"TYPE",HASH,SRCVERTEXHASH,DSTVERTEXHASH,"OPERATION","TIME"
1,"WasInformedBy",-143368052,1543717122,824758822,NULL,NULL
2,"WasInformedBy",1053681266,-1587681112,824758822,NULL,NULL
3,"WasInformedBy",-1966253595,-575549639,-1587681112,NULL,NULL
4,"WasInformedBy",817628190,-1432410094,-1587681112,NULL,NULL
5,"WasInformedBy",811246560,-1432475884,-1587681112,NULL,NULL
6,"WasInformedBy",-1088617771,-566501847,-1587681112,NULL,NULL
7,"WasInformedBy",710637653,-2141961303,-1587681112,NULL,NULL
8,"WasInformedBy",-1088616510,-566501834,-1587681112,NULL,NULL
9,"WasInformedBy",817595792,-1432410428,-1587681112,NULL,NULL
10,"WasInformedBy",-1966108192,-575548140,-1587681112,NULL,NULL
11,"WasInformedBy",817775145,-1432408579,-1587681112,NULL,NULL
12,"WasInformedBy",710792368,-2141959708,-1587681112,NULL,NULL
13,"WasInformedBy",-1088461019,-566500231,-1587681112,NULL,NULL
14,"WasInformedBy",817447091,-1432411961,-1587681112,NULL,NULL
15,"WasInformedBy",-1966097328,-575548028,-1587681112,NULL,NULL
16,"WasInformedBy",710797994,-2141959650,-1587681112,NULL,NULL
17,"WasInformedBy",-1088457721,-566500197,-1587681112,NULL,NULL
18,"WasInformedBy",817568341,-1432410711,-1587681112,NULL,NULL
19,"WasInformedBy",-1966095582,-575548010,-1587681112,NULL,NULL
20,"WasInformedBy",710876079,-2141958845,-1587681112,NULL,NULL
21,"WasInformedBy",-1083666203,894723641,-1587681112,NULL,NULL
22,"WasInformedBy",1490750493,1496878193,-1587681112,NULL,NULL
23,"WasInformedBy",-876455397,-1051372753,-1587681112,NULL,NULL
24,"WasInformedBy",-1773526702,-1946181178,-1587681112,NULL,NULL
25,"WasInformedBy",-1124466626,761468978,-1587681112,NULL,NULL
26,"WasInformedBy",798438302,1622574994,-1587681112,NULL,NULL
27,"WasInformedBy",-689159114,1341570858,-1587681112,NULL,NULL
28,"WasInformedBy",-1279980779,1335479913,-1587681112,NULL,NULL
29,"WasInformedBy",-1851939223,1550973501,-1587681112,NULL,NULL
30,"WasInformedBy",-1615169061,-1944548625,-1587681112,NULL,NULL
31,"WasInformedBy",1580501573,-2044437607,-1587681112,NULL,NULL
32,"WasInformedBy",817882815,-1432407469,-1587681112,NULL,NULL
33,"WasInformedBy",818215137,-1432404043,-1587681112,NULL,NULL
34,"WasInformedBy",812170194,-1432466362,-1587681112,NULL,NULL
35,"WasInformedBy",-765271131,1827844345,-1587681112,NULL,NULL
36,"WasInformedBy",1260965143,-2047731797,-1587681112,NULL,NULL
37,"WasInformedBy",1813195670,1367368330,-1587681112,NULL,NULL
38,"WasInformedBy",1192314277,-1694215431,-1587681112,NULL,NULL
39,"WasInformedBy",-1120977932,894338984,-1587681112,NULL,NULL
40,"WasInformedBy",-1541344193,-1589563437,-1587681112,NULL,NULL
41,"WasInformedBy",1264020897,-896471947,-1587681112,NULL,NULL
42,"WasInformedBy",1264020703,-896471949,-1587681112,NULL,NULL
43,"WasInformedBy",-677260379,-1403543303,-1587681112,NULL,NULL
44,"WasInformedBy",-677260282,-1403543302,-1587681112,NULL,NULL
45,"WasInformedBy",2052613781,1989728745,-1587681112,NULL,NULL
46,"WasInformedBy",-670880495,-1403477531,-1587681112,NULL,NULL
47,"WasInformedBy",-670694158,-1403475610,-1587681112,NULL,NULL
48,"WasInformedBy",1810795568,-802279068,-1587681112,NULL,NULL
49,"WasInformedBy",1811206460,-802274832,-1587681112,NULL,NULL
50,"WasInformedBy",1104501171,-2093622841,-1587681112,NULL,NULL
51,"WasInformedBy",1114384381,-101010351,-1587681112,NULL,NULL
52,"WasInformedBy",1912057905,349993221,-1587681112,NULL,NULL
53,"WasInformedBy",568819687,-1789199237,-1587681112,NULL,NULL
54,"WasInformedBy",-1807237896,-1813694676,-1587681112,NULL,NULL
